Battle_title,Battle_url,Sup_1_Character,Sup_1_Name,Sup_1_Universe,Sup_2_Character,Sup_2_Name,Sup_2_Universe,Superhero_1_win,Superhero_2_win,Draw
Void vs All-Black,https://www.superherodb.com/90-637124/,Void,Robert Reynolds,Earth-616,All-Black,All-Black,,0.0,0.0,100.0
Doctor Doom (Life Force) vs Molecule Man (Beyonders Powers),https://www.superherodb.com/90-636930/,Doctor Doom (Life Force),Victor Von Doom,,Molecule Man (Beyonders Powers),Owen Reece,,0.0,100.0,0.0
Absorbing Man vs Psi-Lord,https://www.superherodb.com/90-636829/,Absorbing Man,Carl Creel,Earth-616,Psi-Lord,Franklin Richards,Earth-982,100.0,0.0,0.0
Wonder Woman vs Shaman,https://www.superherodb.com/90-636826/,Wonder Woman,Bekka,GAM,Shaman,Nate Grey,Earth-2098,0.0,100.0,0.0
Captain Marvel vs Captain Nazi,https://www.superherodb.com/90-636818/,Captain Marvel,Carol Danvers,Earth-616,Captain Nazi,Ejoj Boring,Prime Earth,100.0,0.0,0.0
Supreme vs Captain Nazi,https://www.superherodb.com/90-636816/,Supreme,Ethan Crane,,Captain Nazi,Ejoj Boring,Prime Earth,100.0,0.0,0.0
Red Torpedo vs Supreme Leader Cho,https://www.superherodb.com/90-636807/,Red Torpedo,,Prime Earth,Supreme Leader Cho,Cho,Invincible,0.0,100.0,0.0
Exodus vs Alex Ultron,https://www.superherodb.com/90-636753/,Exodus,Bennet Du Paris,Earth-616,Alex Ultron,Alex Ultron,Earth-807128,100.0,0.0,0.0
Lord Armageddon vs Lord Ultron,https://www.superherodb.com/90-636745/,Lord Armageddon,Arm'Cheddon,Earth-616,Lord Ultron,Ultron,Earth-21261,0.0,100.0,0.0
Moon Knight vs Havok,https://www.superherodb.com/90-636740/,Moon Knight,Marc Spector,Earth-616,Havok,Alexander Summers,Earth-1610,100.0,0.0,0.0
Thing (Knullified) vs Poison Hulk,https://www.superherodb.com/90-636731/,Thing (Knullified),Ben Grimm,Earth-616,Poison Hulk,Bruce Banner,Earth-17952,0.0,100.0,0.0
Starfire vs Indigo,https://www.superherodb.com/90-636671/,Starfire,Koriand'r,Prime Earth,Indigo,Iroque,Prime Earth,0.0,100.0,0.0
Odin (Destroyer Armor) vs Ghost Rider (Celestial body),https://www.superherodb.com/90-636485/,Odin (Destroyer Armor),Odin Borson,,Ghost Rider (Celestial body),Robbie Reyes,Earth-616,50.0,50.0,0.0
Terrax The Tamer vs Doctor Polaris,https://www.superherodb.com/90-619838/,Terrax The Tamer,Tyros,Earth-616,Doctor Polaris,Neal Emerson,Prime Earth,100.0,0.0,0.0
Orion (Anti-Life Equation) vs Hawk-God,https://www.superherodb.com/90-615105/,Orion (Anti-Life Equation),Orion,,Hawk-God,,,100.0,0.0,0.0
Doctor Strangefate vs Cosmic Ghost Rider,https://www.superherodb.com/90-614407/,Doctor Strangefate,Charles Xavier,Earth-9602,Cosmic Ghost Rider,Frank Castle,Earth-TRN666,100.0,0.0,0.0
Thorion the Hunter vs Vector Prime,https://www.superherodb.com/90-614099/,Thorion the Hunter,Thorion,Earth-9602,Vector Prime,,,0.0,100.0,0.0
H'EL vs Gotham,https://www.superherodb.com/90-612041/,H'EL,H'El,Prime Earth,Gotham,Henry Clover Jr.,Prime Earth,66.7,33.3,0.0
Omega Of The Thanosi vs Doom The Living Planet,https://www.superherodb.com/90-611450/,Omega Of The Thanosi,Omega,Earth-616,Doom The Living Planet,Victor Von Doom,,0.0,100.0,0.0
Ultimate Echo Echo vs Mega Mewtwo X,https://www.superherodb.com/90-610781/,Ultimate Echo Echo,Evolved Sonorossian,,Mega Mewtwo X,Mewtwo,Pokemon,0.0,100.0,0.0
Wonder Man vs Hulkbuster III (Iron Man Mark 49),https://www.superherodb.com/90-609099/,Wonder Man,Simon Williams,Earth-616,Hulkbuster III (Iron Man Mark 49),Tony Stark,,100.0,0.0,0.0
Mister Fantastic (Beyonders Powers) vs Anti-Monitor (Sixth Dimension),https://www.superherodb.com/90-604009/,Mister Fantastic (Beyonders Powers),Reed Richards,Earth-616,Anti-Monitor (Sixth Dimension),Mobius,AU,50.0,50.0,0.0
Death Seed Iceman vs Kuurth,https://www.superherodb.com/90-603543/,Death Seed Iceman,Bobby Drake,Earth-13133,Kuurth,Cain Marko,Earth-616,100.0,0.0,0.0
Gladiator vs Red Lantern,https://www.superherodb.com/90-602302/,Gladiator,Kallark,Earth-616,Red Lantern,Guy Gardner,Prime Earth,100.0,0.0,0.0
H'EL vs Superman,https://www.superherodb.com/90-601593/,H'EL,H'El,Prime Earth,Superman,Kal-El,Earth-22,0.0,100.0,0.0
Infinity vs Orion (Anti-Life Equation),https://www.superherodb.com/90-601015/,Infinity,Infinity,Earth-616,Orion (Anti-Life Equation),Orion,,50.0,50.0,0.0
Phoenix vs White Lantern,https://www.superherodb.com/90-601013/,Phoenix,Quentin Quire,Earth-616,White Lantern,Ronnie Raymond,Prime Earth,0.0,100.0,0.0
Superman vs Nimrod The Lesser,https://www.superherodb.com/90-601012/,Superman,Hernan Guerra,GAM,Nimrod The Lesser,Nimrod,Earth-TRN756,0.0,33.3,66.7
Brother Yin vs White Phoenix,https://www.superherodb.com/90-601011/,Brother Yin,,Earth-9602,White Phoenix,Hope Summers,Earth-616,0.0,0.0,100.0
Proselyte vs Cyclops (Phoenix Force),https://www.superherodb.com/90-601010/,Proselyte,Proselyte,Prime Earth,Cyclops (Phoenix Force),Scott Summers,,100.0,0.0,0.0
Sentry (Merged With Void) vs Galactus Engine,https://www.superherodb.com/90-601008/,Sentry (Merged With Void),Robert Reynolds,Earth-616,Galactus Engine,Galan,Earth-10011,0.0,100.0,0.0
Unicron vs The Monitor,https://www.superherodb.com/90-601000/,Unicron,Unicron,,The Monitor,,,0.0,100.0,0.0
Parallax vs Invictus,https://www.superherodb.com/90-600999/,Parallax,Thaal Sinestro,Prime Earth,Invictus,Invictus,Prime Earth,75.0,25.0,0.0
Green Lantern vs Doomsday (Rex),https://www.superherodb.com/90-600997/,Green Lantern,Hal Jordan,Futures End,Doomsday (Rex),Doomsday,,0.0,100.0,0.0
Omac vs Green Lantern,https://www.superherodb.com/90-600996/,Omac,O.M.A.C. Prime,Prime Earth,Green Lantern,Alan Scott,Earth-2,0.0,100.0,0.0
Zeus vs Parallax,https://www.superherodb.com/90-600995/,Zeus,Zeus,Prime Earth,Parallax,Kyle Rayner,Prime Earth,100.0,0.0,0.0
Korvac vs Knull,https://www.superherodb.com/90-600994/,Korvac,Michael Korvac,Earth-616,Knull,Knull,Earth-616,0.0,50.0,50.0
All-Father Ultron vs Nezzar,https://www.superherodb.com/90-600991/,All-Father Ultron,Ultron,Earth-14831,Nezzar,The Calculator,,50.0,0.0,50.0
Ancient One vs Fernus,https://www.superherodb.com/90-600990/,Ancient One,Yao,Earth-616,Fernus,J'onn J'onzz,Prime Earth,0.0,100.0,0.0
Green/Blue Lantern vs Captain Universe,https://www.superherodb.com/90-600989/,Green/Blue Lantern,Hal Jordan,Prime Earth,Captain Universe,Tamara Devoux,Earth-616,100.0,0.0,0.0
Exitar The Executioner vs Hiro-Kala,https://www.superherodb.com/90-600987/,Exitar The Executioner,,Earth-616,Hiro-Kala,Hiro-Kala,Earth-616,100.0,0.0,0.0
Magus vs The Shadow Of Thunder,https://www.superherodb.com/90-600986/,Magus,,Earth-616,The Shadow Of Thunder,Donald Blake,,100.0,0.0,0.0
Hercules vs Dark Mary Marvel,https://www.superherodb.com/90-600985/,Hercules,Hercules Panhellenios,Earth-616,Dark Mary Marvel,Mary Willow Batson,,0.0,100.0,0.0
Swamp Thing vs Apex Predator,https://www.superherodb.com/90-600984/,Swamp Thing,Alec Holland,Prime Earth,Apex Predator,,Prime Earth,0.0,100.0,0.0
Cyborg Superman vs Green Lantern,https://www.superherodb.com/90-600982/,Cyborg Superman,Henry Henshaw,Prime Earth,Green Lantern,Lobo,Injustice,0.0,75.0,25.0
Parasite vs Red Tornado,https://www.superherodb.com/90-601591/,Parasite,Rudolph C. Jones,Prime Earth,Red Tornado,Lois Lane,Earth-2,0.0,100.0,0.0
Milkman Man vs Chronicler,https://www.superherodb.com/90-601590/,Milkman Man,,Prime Earth,Chronicler,,Prime Earth,100.0,0.0,0.0
Unicron vs Superman Prime,https://www.superherodb.com/90-601587/,Unicron,Unicron,,Superman Prime,Clark Kent,Prime Earth,0.0,100.0,0.0
Saint Walker vs Wraith,https://www.superherodb.com/90-601586/,Saint Walker,Bro'Dee Walker,Prime Earth,Wraith,Zak-Del,,100.0,0.0,0.0
The First Lantern vs Ion,https://www.superherodb.com/90-601584/,The First Lantern,Volthoom,Earth-15,Ion,Sodam Yat,Prime Earth,100.0,0.0,0.0
Iron Man (Endo-Sym Armor) vs Sergeant Preus,https://www.superherodb.com/90-601567/,Iron Man (Endo-Sym Armor),Tony Stark,Earth-616,Sergeant Preus,Preus,Prime Earth,0.0,100.0,0.0
Future Flash vs Captain Universe,https://www.superherodb.com/90-601561/,Future Flash,Barry Allen,New 52,Captain Universe,Tamara Devoux,Earth-616,0.0,100.0,0.0
Apocalypse vs Orange Lantern,https://www.superherodb.com/90-601558/,Apocalypse,En Sabah Nur,Earth-616,Orange Lantern,Kyle Rayner,Prime Earth,50.0,50.0,0.0
"Agamotto vs Phoenix (1,000,000 BC)",https://www.superherodb.com/90-601519/,Agamotto,Agamotto,Earth-616,"Phoenix (1,000,000 BC)",Firehair,Earth-616,0.0,100.0,0.0
Metron vs Larfleeze,https://www.superherodb.com/90-601515/,Metron,Metron,Prime Earth,Larfleeze,Larfleeze,Prime Earth,0.0,100.0,0.0
The First Lantern vs Anti-Monitor (Anti-life Equation),https://www.superherodb.com/90-601229/,The First Lantern,Volthoom,Earth-15,Anti-Monitor (Anti-life Equation),Mobius,AU,33.3,66.7,0.0
Mara Jade Skywalker vs Kyle Katarn,https://www.superherodb.com/90-601226/,Mara Jade Skywalker,,SWL,Kyle Katarn,Kyle Katarn,SWL,100.0,0.0,0.0
Green Lantern vs Yellow Lantern,https://www.superherodb.com/90-601222/,Green Lantern,Thaal Sinestro,Prime Earth,Yellow Lantern,Soranik Sinestro,,100.0,0.0,0.0
Moonstone vs Guardian,https://www.superherodb.com/90-601219/,Moonstone,Karla Sofen,Earth-616,Guardian,James Hudson,Earth-616,100.0,0.0,0.0
Mad Thinker vs The Maker,https://www.superherodb.com/90-601218/,Mad Thinker,,Earth-616,The Maker,Reed Richards,Earth-1610,0.0,100.0,0.0
Green/Blue Lantern vs Invictus,https://www.superherodb.com/90-601177/,Green/Blue Lantern,Hal Jordan,Prime Earth,Invictus,Invictus,Prime Earth,100.0,0.0,0.0
Superman (Red son) vs Darkseid (Ghost Sector),https://www.superherodb.com/90-601016/,Superman (Red son),Kal-El,Earth-30,Darkseid (Ghost Sector),Uxas,Prime Earth,0.0,100.0,0.0
Tyrant vs Sentry (Stable),https://www.superherodb.com/90-602301/,Tyrant,Tyrant,Earth-616,Sentry (Stable),Robert Reynolds,Earth-616,100.0,0.0,0.0
Proteus vs Wolverine (Phoenix Force),https://www.superherodb.com/90-602299/,Proteus,Remington Cord,,Wolverine (Phoenix Force),Logan,,0.0,100.0,0.0
Doctor Fate (Power Of Nabu) vs Shazam,https://www.superherodb.com/90-602297/,Doctor Fate (Power Of Nabu),"Kent Nelson, Inza Craner & Nabu",,Shazam,Billy Batson,Pre-Crisis,50.0,50.0,0.0
Hercules vs Nimrod The Lesser,https://www.superherodb.com/90-602296/,Hercules,Hercules Panhellenios,Earth-616,Nimrod The Lesser,Nimrod,Earth-TRN756,0.0,100.0,0.0
Rao vs Ares,https://www.superherodb.com/90-602295/,Rao,Rao,New 52,Ares,Ares,New 52,66.7,0.0,33.3
General Zod vs Annihilator,https://www.superherodb.com/90-602294/,General Zod,Dru-Zod,Prime Earth,Annihilator,,Prime Earth,100.0,0.0,0.0
Atrocitus vs Silver Sentry,https://www.superherodb.com/90-602293/,Atrocitus,Atros,Prime Earth,Silver Sentry,Robert Reynolds,Earth-616,0.0,100.0,0.0
Mr Majestic vs Battle Beast,https://www.superherodb.com/90-601907/,Mr Majestic,Lord Majestros Of Khera,Earth-50,Battle Beast,,Invincible,100.0,0.0,0.0
Sinifer vs Lucifer,https://www.superherodb.com/90-601903/,Sinifer,Sinifer,Earth-616,Lucifer,Lucifer,Earth-616,100.0,0.0,0.0
Fin Fang Foom vs King Caesar,https://www.superherodb.com/90-601894/,Fin Fang Foom,,Earth-616,King Caesar,,Toho,100.0,0.0,0.0
Chthon vs Ares (True Form),https://www.superherodb.com/90-601642/,Chthon,,Earth-616,Ares (True Form),Ares,Prime Earth,0.0,100.0,0.0
Elaine Belloc (Angel) vs Nightmare (All Dreams),https://www.superherodb.com/90-601641/,Elaine Belloc (Angel),Elaine Belloc,Vertigo,Nightmare (All Dreams),Nightmare,Earth-616,100.0,0.0,0.0
Trigon vs Clyde Wyncham (Kid),https://www.superherodb.com/90-601640/,Trigon,,Prime Earth,Clyde Wyncham (Kid),Clyde Wyncham,Earth-807128,0.0,100.0,0.0
Destroyer (Godheads Council) vs Hawk-God,https://www.superherodb.com/90-601598/,Destroyer (Godheads Council),,,Hawk-God,,,0.0,100.0,0.0
Onslaught vs Black Hand,https://www.superherodb.com/90-603535/,Onslaught,Onslaught,Earth-616,Black Hand,William Hand,Prime Earth,33.3,0.0,66.7
Doctor Fate (Power Of Nabu) vs Master Order,https://www.superherodb.com/90-603530/,Doctor Fate (Power Of Nabu),"Kent Nelson, Inza Craner & Nabu",,Master Order,Master Order,Earth-616,0.0,100.0,0.0
Ghost Rider (Zarathos' Power) vs Oblivion,https://www.superherodb.com/90-603528/,Ghost Rider (Zarathos' Power),Johnny Blaze,,Oblivion,Kyle Rayner,,0.0,100.0,0.0
Primus vs Galactus Engine,https://www.superherodb.com/90-603526/,Primus,,,Galactus Engine,Galan,Earth-10011,0.0,100.0,0.0
"Kevin 11,000 vs Ultimate Kevin",https://www.superherodb.com/90-603349/,"Kevin 11,000",Kevin Ethan Levin,Ben 10,Ultimate Kevin,Kevin Ethan Levin,Ben 10,66.7,33.3,0.0
Black Adam vs Grail (Anti-life Equation),https://www.superherodb.com/90-603348/,Black Adam,Teth-Adam,Pre-Crisis,Grail (Anti-life Equation),Grail,,0.0,100.0,0.0
Eclipso vs Highfather (Life Equation),https://www.superherodb.com/90-603342/,Eclipso,,Prime Earth,Highfather (Life Equation),Izaya,,0.0,100.0,0.0
Mordru vs Guardian (Servant Of Darkness),https://www.superherodb.com/90-603341/,Mordru,,Prime Earth,Guardian (Servant Of Darkness),Ganthet,Pre-Crisis,100.0,0.0,0.0
Barbatos vs Captain Adam,https://www.superherodb.com/90-603326/,Barbatos,Barbatos,Prime Earth,Captain Adam,Allen Adam,Earth-4,25.0,75.0,0.0
Speed vs Red Rush,https://www.superherodb.com/90-603310/,Speed,Thomas Shepherd,Earth-616,Red Rush,Josef,Invincible,100.0,0.0,0.0
The First Lantern vs Oblivion,https://www.superherodb.com/90-603173/,The First Lantern,Volthoom,Earth-15,Oblivion,Kyle Rayner,,100.0,0.0,0.0
Galactus (Starving) vs Galactus (Devourer Of All),https://www.superherodb.com/90-602413/,Galactus (Starving),Galan,,Galactus (Devourer Of All),Galan,,0.0,100.0,0.0
Sun-Eater vs Ranx,https://www.superherodb.com/90-602358/,Sun-Eater,,,Ranx,,,0.0,100.0,0.0
Darkseid vs Darkseid (Soul Syphon),https://www.superherodb.com/90-602322/,Darkseid,Uxas,FS,Darkseid (Soul Syphon),Uxas,Earth-1,25.0,25.0,50.0
Sinestro vs Darkstar,https://www.superherodb.com/90-602321/,Sinestro,Thaal Sinestro,Prime Earth,Darkstar,Tomar-Tu,Prime Earth,100.0,0.0,0.0
Green Lantern vs Captain Marvel,https://www.superherodb.com/90-604007/,Green Lantern,Sodam Yat,Prime Earth,Captain Marvel,Billy Batson,Earth-22,0.0,100.0,0.0
Mister Mxyzptlk vs Clyde Wyncham (Kid),https://www.superherodb.com/90-604006/,Mister Mxyzptlk,Mr. Mxyzptlk,Prime Earth,Clyde Wyncham (Kid),Clyde Wyncham,Earth-807128,0.0,100.0,0.0
Wampa vs Wrecker,https://www.superherodb.com/90-603683/,Wampa,Wampa Ice Creature,Star Wars,Wrecker,,Star Wars,100.0,0.0,0.0
The First Firmament vs Ares (True Form),https://www.superherodb.com/90-603581/,The First Firmament,The First Firmament,Earth-616,Ares (True Form),Ares,Prime Earth,100.0,0.0,0.0
Hela vs Emperor Valkorion,https://www.superherodb.com/90-603573/,Hela,,Earth-616,Emperor Valkorion,Tenebrae,SWL,0.0,100.0,0.0
The Mad Celestial vs Darkseid (Death Metal),https://www.superherodb.com/90-603565/,The Mad Celestial,The Mad Celestial,Earth-616,Darkseid (Death Metal),Uxas,DM,0.0,100.0,0.0
Green Lantern vs Atom Eve,https://www.superherodb.com/90-603559/,Green Lantern,Alan Scott,Prime Earth,Atom Eve,Samantha Eve Wilkins,Invincible,0.0,100.0,0.0
Deadman vs Guilt Hulk,https://www.superherodb.com/90-603554/,Deadman,Boston Brand,Prime Earth,Guilt Hulk,Brian Banner,Earth-616,100.0,0.0,0.0
Krona vs Green Lantern (God Of Light),https://www.superherodb.com/90-603553/,Krona,Krona,Prime Earth,Green Lantern (God Of Light),Hal Jordan,,100.0,0.0,0.0
Kevin 11 vs Sentinel,https://www.superherodb.com/90-603551/,Kevin 11,Kevin Ethan Levin,Ben 10,Sentinel,,Earth-616,100.0,0.0,0.0
Nimrod The Lesser vs Ultimate Kevin,https://www.superherodb.com/90-603550/,Nimrod The Lesser,Nimrod,Earth-TRN756,Ultimate Kevin,Kevin Ethan Levin,Ben 10,100.0,0.0,0.0
The Hand vs Raven (Unkindness),https://www.superherodb.com/90-603548/,The Hand,Hands,Prime Earth,Raven (Unkindness),Rachel Roth,FS,0.0,50.0,50.0
Lobo vs Captain Thunder (S.H.A.Z.A.M.),https://www.superherodb.com/90-603546/,Lobo,Lobo,Prime Earth,Captain Thunder (S.H.A.Z.A.M.),,Flashpoint,0.0,0.0,100.0
Captain America (Worthy) vs The Immortal,https://www.superherodb.com/90-604626/,Captain America (Worthy),Steve Rogers,Earth-616,The Immortal,,Invincible,100.0,0.0,0.0
Superboy-Prime vs Wonder Woman (Anti-Crisis Energy),https://www.superherodb.com/90-604624/,Superboy-Prime,Kal-El,Prime Earth,Wonder Woman (Anti-Crisis Energy),Diana Prince,Prime Earth,0.0,100.0,0.0
Absorbing Man vs Gorr The God Butcher,https://www.superherodb.com/90-604453/,Absorbing Man,Carl Creel,Earth-616,Gorr The God Butcher,Gorr,Earth-616,0.0,100.0,0.0
Captain America (Hydra Armour) vs Hawkman (Dragon Of Barbatos),https://www.superherodb.com/90-604020/,Captain America (Hydra Armour),Steve Rogers,Earth-61311,Hawkman (Dragon Of Barbatos),Carter Hall,Prime Earth,0.0,100.0,0.0
Green Lantern vs Grand Regent Thragg,https://www.superherodb.com/90-604018/,Green Lantern,Abin Sur,Prime Earth,Grand Regent Thragg,Thragg,Invincible,0.0,100.0,0.0
Ultimate Aggregor vs The Immortal,https://www.superherodb.com/90-604015/,Ultimate Aggregor,Aggregor,,The Immortal,,Invincible,100.0,0.0,0.0
Iron Man (Hulkbuster Armor) vs Conquest,https://www.superherodb.com/90-604013/,Iron Man (Hulkbuster Armor),Tony Stark,Earth-616,Conquest,,Invincible,100.0,0.0,0.0
High Evolutionary vs Ultimate Kevin,https://www.superherodb.com/90-607837/,High Evolutionary,Herbert Edgar Wyndham,Earth-616,Ultimate Kevin,Kevin Ethan Levin,Ben 10,100.0,0.0,0.0
Iron Man (Endo-Sym Armor) vs Green Lantern,https://www.superherodb.com/90-607753/,Iron Man (Endo-Sym Armor),Tony Stark,Earth-616,Green Lantern,Hal Jordan,Earth-1,50.0,50.0,0.0
Biollante (Heisei) vs Swamp Beast,https://www.superherodb.com/90-607467/,Biollante (Heisei),Erika Shiragami,Toho,Swamp Beast,L'espirit Du Marais,G:TS,100.0,0.0,0.0
Slattern vs El Gusano Gigante,https://www.superherodb.com/90-607459/,Slattern,,Pacific Rim,El Gusano Gigante,,G:TS,100.0,0.0,0.0
The Zillo Beast vs Cloverfield (Adult),https://www.superherodb.com/90-607456/,The Zillo Beast,,Star Wars,Cloverfield (Adult),Clover,,100.0,0.0,0.0
Sub-Zero Manta vs Servum (AniGoji),https://www.superherodb.com/90-607455/,Sub-Zero Manta,,G:TS,Servum (AniGoji),Servum,Toho,100.0,0.0,0.0
Thor vs Carnage (Dark),https://www.superherodb.com/90-607349/,Thor,Thor Odinson,Earth-616,Carnage (Dark),Kletus Casady,Earth-616,100.0,0.0,0.0
Raiju vs Dragma,https://www.superherodb.com/90-607313/,Raiju,,Pacific Rim,Dragma,D.R.A.G.M.A.,G:TS,0.0,100.0,0.0
Apocalypse vs Wonder Woman,https://www.superherodb.com/90-606836/,Apocalypse,En Sabah Nur,Earth-616,Wonder Woman,Bekka,GAM,100.0,0.0,0.0
Poison Thanos vs King in Black,https://www.superherodb.com/90-606825/,Poison Thanos,Thanos,Earth-616,King in Black,Eddie Brock,Earth-616,0.0,0.0,100.0
Godzilla vs American Kaiju,https://www.superherodb.com/90-606424/,Godzilla,Godzilla Jr.,G:TS,American Kaiju,Todd Ziller,Earth-616,0.0,0.0,100.0
Highfather Odin vs Valknar The Exhumer,https://www.superherodb.com/90-609098/,Highfather Odin,Odin Borson,Earth-9602,Valknar The Exhumer,Valknar,,100.0,0.0,0.0
General Zod vs Weapon H,https://www.superherodb.com/90-609085/,General Zod,Dru-Zod,Prime Earth,Weapon H,Clayton,Earth-616,0.0,100.0,0.0
Hecate vs Zone Child,https://www.superherodb.com/90-609082/,Hecate,Hecate,Prime Earth,Zone Child,,,100.0,0.0,0.0
Spider-Man (Beyonders Powers) vs Doctor Doom,https://www.superherodb.com/90-609070/,Spider-Man (Beyonders Powers),Peter Parker,Earth-616,Doctor Doom,Victor Von Doom,Earth-90251,0.0,100.0,0.0
Blue Lantern vs Parallax,https://www.superherodb.com/90-608489/,Blue Lantern,Barry Allen,Prime Earth,Parallax,Barry Allen,Prime Earth,100.0,0.0,0.0
Warlock vs King Hyperion,https://www.superherodb.com/90-608327/,Warlock,Adam Warlock,Earth-616,King Hyperion,Marcus Milton,Earth-4023,100.0,0.0,0.0
Surtur vs Mordru,https://www.superherodb.com/90-607935/,Surtur,Surtur,Earth-616,Mordru,Mordru,New 52,0.0,100.0,0.0
Malekith vs Super Skrull,https://www.superherodb.com/90-607854/,Malekith,Malekith,Earth-616,Super Skrull,Kl?rt,Earth-616,100.0,0.0,0.0
Phoenix vs Martian Manhunter,https://www.superherodb.com/90-607853/,Phoenix,Emma Frost,Earth-616,Martian Manhunter,J'onn J'onzz,Earth 55,100.0,0.0,0.0
"The Chosen One vs Atmahn, The Night Judge",https://www.superherodb.com/90-607852/,The Chosen One,Anakin Skywalker,Star Wars,"Atmahn, The Night Judge",Bruce Wayne,Prime Earth,0.0,100.0,0.0
Doomsday (Rex) vs Captain Atom,https://www.superherodb.com/90-607849/,Doomsday (Rex),Doomsday,,Captain Atom,Nathaniel Adam,New 52,0.0,100.0,0.0
Conquest vs Parasite,https://www.superherodb.com/90-607846/,Conquest,,Invincible,Parasite,Joshua Allen,,0.0,100.0,0.0
Orion (Anti-Life Equation) vs Brainiac,https://www.superherodb.com/90-607844/,Orion (Anti-Life Equation),Orion,,Brainiac,Vril Dox,One Million,100.0,0.0,0.0
Saint Walker vs Lord Boros,https://www.superherodb.com/90-607841/,Saint Walker,Bro'Dee Walker,Prime Earth,Lord Boros,Boros,OPM,100.0,0.0,0.0
Starbrand vs A.M.A.Z.O (Worlogog),https://www.superherodb.com/90-607840/,Starbrand,Kevin Connor,Earth-616,A.M.A.Z.O (Worlogog),Amazo,,100.0,0.0,0.0
Old Man Doom vs Batman,https://www.superherodb.com/90-609182/,Old Man Doom,Victor Von Doom,Earth-616,Batman,Bruce Wayne,Futures End,100.0,0.0,0.0
Wesker vs Karl Heisenberg,https://www.superherodb.com/90-609148/,Wesker,Albert Wesker,Resident Evil,Karl Heisenberg,,Resident Evil,100.0,0.0,0.0
Black Adam vs Batgod,https://www.superherodb.com/90-609124/,Black Adam,Teth-Adam,New 52,Batgod,Bruce Wayne,Prime Earth,0.0,100.0,0.0
Red Shift vs Red Lantern,https://www.superherodb.com/90-609123/,Red Shift,,Earth-616,Red Lantern,Kara Zor-El,Prime Earth,0.0,100.0,0.0
Ghost Rider (King Of Hell) vs Anti-Monitor (Anti-life Equation),https://www.superherodb.com/90-609122/,Ghost Rider (King Of Hell),Johnny Blaze,,Anti-Monitor (Anti-life Equation),Mobius,AU,50.0,50.0,0.0
Matthew Malloy vs Knull,https://www.superherodb.com/90-609121/,Matthew Malloy,Matthew Malloy,Earth-616,Knull,Knull,Earth-616,0.0,100.0,0.0
Gladiator vs Tomar-Tu,https://www.superherodb.com/90-609120/,Gladiator,Kallark,Earth-616,Tomar-Tu,,Prime Earth,100.0,0.0,0.0
Brainiac vs Spectrum,https://www.superherodb.com/90-609119/,Brainiac,Vril Dox,Prime Earth,Spectrum,Monica Rambeau,Earth-616,100.0,0.0,0.0
King Ghidorah vs Omni-Man,https://www.superherodb.com/90-609117/,King Ghidorah,Titanus Ghidorah,MonsterVerse,Omni-Man,Nolan Grayson,Invincible,0.0,100.0,0.0
Superboy-Prime vs White Lantern (Life Equation),https://www.superherodb.com/90-609115/,Superboy-Prime,Kal-El,Prime Earth,White Lantern (Life Equation),Kyle Rayner,Futures End,0.0,100.0,0.0
Red Tornado vs The Immortal,https://www.superherodb.com/90-609113/,Red Tornado,John Smith,Prime Earth,The Immortal,,Invincible,0.0,100.0,0.0
Doom The Living Planet vs Mogo,https://www.superherodb.com/90-609107/,Doom The Living Planet,Victor Von Doom,,Mogo,Mogo,New 52,100.0,0.0,0.0
Absorbing Man vs Doctor Polaris,https://www.superherodb.com/90-609102/,Absorbing Man,Carl Creel,Earth-616,Doctor Polaris,Neal Emerson,Prime Earth,0.0,100.0,0.0
Superman vs Grand Regent Thragg,https://www.superherodb.com/90-610770/,Superman,Kal-El,Injustice,Grand Regent Thragg,Thragg,Invincible,0.0,50.0,50.0
Nova vs Nova,https://www.superherodb.com/90-609875/,Nova,Samuel Alexander,Earth-616,Nova,Robbie Rider,Earth-616,100.0,0.0,0.0
Superman vs The Last Sun,https://www.superherodb.com/90-609870/,Superman,Kal-El,Earth-1198,The Last Sun,Kal-El,Last 52,100.0,0.0,0.0
Doctor Fate (Power Of Nabu) vs The Galactic Gladiator,https://www.superherodb.com/90-609833/,Doctor Fate (Power Of Nabu),"Kent Nelson, Inza Craner & Nabu",,The Galactic Gladiator,,Ben 10,100.0,0.0,0.0
Sela Allen vs Zeus,https://www.superherodb.com/90-609832/,Sela Allen,Sela Allen,Prime Earth,Zeus,Zeus,New 52,0.0,100.0,0.0
Green Lantern vs Parasite,https://www.superherodb.com/90-609831/,Green Lantern,Guy Gardner,Prime Earth,Parasite,Rudolph C. Jones,Prime Earth,100.0,0.0,0.0
Legion vs White Lantern,https://www.superherodb.com/90-609721/,Legion,David Haller,Earth-616,White Lantern,Simon Baz,Prime Earth,100.0,0.0,0.0
All-Father Ultron vs Thanos,https://www.superherodb.com/90-609720/,All-Father Ultron,Ultron,Earth-14831,Thanos,,Earth-TRN852,100.0,0.0,0.0
Reverse-Flash vs Flash (Unmoored),https://www.superherodb.com/90-609708/,Reverse-Flash,Daniel West,Prime Earth,Flash (Unmoored),Wally West,Prime Earth,0.0,100.0,0.0
Hellstorm vs Doctor Fate,https://www.superherodb.com/90-609706/,Hellstorm,Daimon Hellstrom,Earth-616,Doctor Fate,Khalid Nassour,Prime Earth,100.0,0.0,0.0
