Battle_title,Battle_url,Sup_1_Character,Sup_1_Name,Sup_1_Universe,Sup_2_Character,Sup_2_Name,Sup_2_Universe,Superhero_1_win,Superhero_2_win,Draw
Absorbing Man vs Silver Surfer,https://www.superherodb.com/90-50306/,Absorbing Man,Carl Creel,Earth-616,Silver Surfer,Norrin Radd,Earth-616,20.0,80.0,0.0
Absorbing Man vs Destroyer,https://www.superherodb.com/90-47440/,Absorbing Man,Carl Creel,Earth-616,Destroyer,NA,Earth-616,0.0,100.0,0.0
Abraxas vs Silver Surfer,https://www.superherodb.com/90-1216/,Abraxas,Abraxas,Earth-616,Silver Surfer,Norrin Radd,Earth-616,33.3,66.7,0.0
Sandman vs Green Goblin II,https://www.superherodb.com/90-1144/,Sandman,William Baker,Earth-616,Green Goblin II,Harold Osborn,Earth-616,100.0,0.0,0.0
Groot vs Sandman,https://www.superherodb.com/90-1143/,Groot,Groot,Earth-616,Sandman,William Baker,Earth-616,100.0,0.0,0.0
Thing vs She-Thing,https://www.superherodb.com/90-10812/,Thing,Ben Grimm,Earth-616,She-Thing,Sharon Ventura,Earth-616,100.0,0.0,0.0
Venom vs She-Hulk,https://www.superherodb.com/90-22951/,Venom,Eddie Brock,Earth-616,She-Hulk,Jennifer Walters,Earth-616,25.0,75.0,0.0
Kang vs Toxin,https://www.superherodb.com/90-22676/,Kang,Nathaniel Richards,Earth-616,Toxin,Eddie Brock,Earth-616,66.7,33.3,0.0
Captain America (Worthy) vs Captain America (Phoenix Force),https://www.superherodb.com/90-515889/,Captain America (Worthy),Steve Rogers,Earth-616,Captain America (Phoenix Force),Steve Rogers,Earth-616,0.0,94.7,5.299999999999997
Wolverine vs Snowbird,https://www.superherodb.com/90-5/,Wolverine,Logan,Earth-616,Snowbird,Narya,Earth-616,100.0,0.0,0.0
Doctor Strange (Classic) vs Mister Sinister,https://www.superherodb.com/90-37919/,Doctor Strange (Classic),Stephen Strange,Earth-616,Mister Sinister,Nathaniel Essex,Earth-616,89.5,10.5,0.0
Doctor Octopus vs Shocker,https://www.superherodb.com/90-57385/,Doctor Octopus,Otto Octavius,Earth-616,Shocker,Herman Schultz,Earth-616,60.0,40.0,0.0
Rhino vs Luke Cage,https://www.superherodb.com/90-14497/,Rhino,Aleksei Sytsevich,Earth-616,Luke Cage,Luke Cage,Earth-616,50.0,46.2,3.799999999999997
The One-Above-All vs The Living Tribunal,https://www.superherodb.com/90-28084/,The One-Above-All,The One-Above-All,Earth-616,The Living Tribunal,NA,Earth-616,96.9,3.1,0.0
Hercules vs She-Hulk,https://www.superherodb.com/90-2285/,Hercules,Hercules Panhellenios,Earth-616,She-Hulk,Jennifer Walters,Earth-616,82.4,17.6,0.0
Absorbing Man vs Green Goblin,https://www.superherodb.com/90-45426/,Absorbing Man,Carl Creel,Earth-616,Green Goblin,Norman Osborn,Earth-616,0.0,100.0,0.0
Deadpool vs Emma Frost,https://www.superherodb.com/90-902/,Deadpool,Wade Wilson,Earth-616,Emma Frost,Emma Frost,Earth-616,50.0,25.0,25.0
Anti-Venom vs Spider-Carnage,https://www.superherodb.com/90-10296/,Anti-Venom,Eddie Brock,Earth-616,Spider-Carnage,Benjamin Reilly,Earth-616,100.0,0.0,0.0
Iron Monger vs Captain Britain,https://www.superherodb.com/90-9714/,Iron Monger,Obadiah Stane,Earth-616,Captain Britain,Brian Braddock,Earth-616,0.0,100.0,0.0
Doctor Doom vs Mandarin,https://www.superherodb.com/90-7015/,Doctor Doom,Victor Von Doom,Earth-616,Mandarin,Khan,Earth-616,75.0,0.0,25.0
Ant-Man vs Red Hulk,https://www.superherodb.com/90-22428/,Ant-Man,Hank Pym,Earth-616,Red Hulk,Thaddeus E. Ross,Earth-616,33.3,66.7,0.0
Emma Frost vs Jessica Jones,https://www.superherodb.com/90-31015/,Emma Frost,Emma Frost,Earth-616,Jessica Jones,Jessica Campbell Jones Cage,Earth-616,100.0,0.0,0.0
Gambit vs Electro,https://www.superherodb.com/90-158448/,Gambit,Remy LeBeau,Earth-616,Electro,Maxwell Dillon,Earth-616,50.0,50.0,0.0
Iceman vs Captain Marvel,https://www.superherodb.com/90-14919/,Iceman,Bobby Drake,Earth-616,Captain Marvel,Carol Danvers,Earth-616,55.6,44.4,0.0
Black Widow vs Silk,https://www.superherodb.com/90-13330/,Black Widow,Natasha Romanoff,Earth-616,Silk,Cindy Moon,Earth-616,25.0,75.0,0.0
Professor X vs Doctor Strange (Classic),https://www.superherodb.com/90-34274/,Professor X,Charles Francis Xavier,Earth-616,Doctor Strange (Classic),Stephen Strange,Earth-616,0.0,100.0,0.0
Thing vs Electro,https://www.superherodb.com/90-324957/,Thing,Ben Grimm,Earth-616,Electro,Maxwell Dillon,Earth-616,62.5,37.5,0.0
Green Goblin vs Venom,https://www.superherodb.com/90-1138/,Green Goblin,Norman Osborn,Earth-616,Venom,Eddie Brock,Earth-616,14.3,83.9,1.7999999999999972
Red She-Hulk vs Captain Marvel,https://www.superherodb.com/90-84133/,Red She-Hulk,Betty Ross,Earth-616,Captain Marvel,Carol Danvers,Earth-616,90.0,10.0,0.0
Gamora vs Punisher,https://www.superherodb.com/90-43203/,Gamora,Gamora Zen Whoberi Ben Titan,Earth-616,Punisher,Frank Castle,Earth-616,100.0,0.0,0.0
Cyclops vs Bishop,https://www.superherodb.com/90-40697/,Cyclops,Scott Summers,Earth-616,Bishop,Lucas Bishop,Earth-616,40.0,60.0,0.0
Ant-Man vs Swarm,https://www.superherodb.com/90-39910/,Ant-Man,Scott Lang,Earth-616,Swarm,Fritz von Meyer,Earth-616,0.0,100.0,0.0
Deadpool vs Shadowcat,https://www.superherodb.com/90-7/,Deadpool,Wade Wilson,Earth-616,Shadowcat,Kitty Pryde,Earth-616,66.7,16.7,16.599999999999994
Jessica Jones vs Purple Man,https://www.superherodb.com/90-5861/,Jessica Jones,Jessica Campbell Jones Cage,Earth-616,Purple Man,Zebediah Killgrave,Earth-616,33.3,66.7,0.0
Colossus vs Emma Frost,https://www.superherodb.com/90-5584/,Colossus,Peter Rasputin,Earth-616,Emma Frost,Emma Frost,Earth-616,0.0,100.0,0.0
Red Hulk vs Luke Cage,https://www.superherodb.com/90-20221/,Red Hulk,Thaddeus E. Ross,Earth-616,Luke Cage,Luke Cage,Earth-616,100.0,0.0,0.0
Spider-Man vs Jessica Jones,https://www.superherodb.com/90-17733/,Spider-Man,Peter Parker,Earth-616,Jessica Jones,Jessica Campbell Jones Cage,Earth-616,100.0,0.0,0.0
