Battle_title,Battle_url,Sup_1_Character,Sup_1_Name,Sup_1_Universe,Sup_2_Character,Sup_2_Name,Sup_2_Universe,Superhero_1_win,Superhero_2_win,Draw
Silver Surfer vs Cosmic Korvac,https://www.superherodb.com/90-694595/,Silver Surfer,Norrin Radd,Earth-616,Cosmic Korvac,Michael Korvac,Earth-616,0.0,100.0,0.0
Galactus vs Meridius,https://www.superherodb.com/90-685571/,Galactus,Galan,Earth-616,Meridius,NA,Earth-616,0.0,0.0,100.0
Venom vs Meridius,https://www.superherodb.com/90-685570/,Venom,Dylan Brock,Earth-616,Meridius,NA,Earth-616,0.0,0.0,100.0
Odin vs Meridius,https://www.superherodb.com/90-685569/,Odin,Odin Borson,Earth-616,Meridius,NA,Earth-616,0.0,0.0,100.0
King in Black vs Meridius,https://www.superherodb.com/90-685567/,King in Black,Eddie Brock,Earth-616,Meridius,NA,Earth-616,0.0,0.0,100.0
Doctor Strange vs Iron God,https://www.superherodb.com/90-694530/,Doctor Strange,Stephen Strange,Earth-616,Iron God,Tony Stark,Earth-616,0.0,100.0,0.0
Doctor Doom vs Yondu,https://www.superherodb.com/90-155731/,Doctor Doom,Victor Von Doom,Earth-616,Yondu,Yondu Udonta,Earth-616,100.0,0.0,0.0
Spider-Woman vs Husk,https://www.superherodb.com/90-157826/,Spider-Woman,Jessica Drew,Earth-616,Husk,Paige Elisabeth Guthrie,Earth-616,0.0,0.0,100.0
Elektra vs Valkyrie,https://www.superherodb.com/90-157625/,Elektra,Elektra Natchios,Earth-616,Valkyrie,Brunnhilde,Earth-616,0.0,100.0,0.0
War Machine vs Amadeus Cho,https://www.superherodb.com/90-157432/,War Machine,James Rhodes,Earth-616,Amadeus Cho,Amadeus Cho,Earth-616,0.0,100.0,0.0
Thanos vs Iron God,https://www.superherodb.com/90-694536/,Thanos,Thanos,Earth-616,Iron God,Tony Stark,Earth-616,0.0,100.0,0.0
Knull vs Meridius,https://www.superherodb.com/90-685565/,Knull,Knull,Earth-616,Meridius,NA,Earth-616,75.0,0.0,25.0
Ghost Rider vs Ghost Rider,https://www.superherodb.com/90-682075/,Ghost Rider,Robbie Reyes,Earth-616,Ghost Rider,Olivia Obtera,Earth-616,0.0,0.0,100.0
Hulk vs Iron God,https://www.superherodb.com/90-694526/,Hulk,Bruce Banner,Earth-616,Iron God,Tony Stark,Earth-616,0.0,100.0,0.0
Silver Surfer vs Iron God,https://www.superherodb.com/90-694522/,Silver Surfer,Norrin Radd,Earth-616,Iron God,Tony Stark,Earth-616,0.0,100.0,0.0
All-Father Thor vs Iron God,https://www.superherodb.com/90-694520/,All-Father Thor,Thor Odinson,Earth-616,Iron God,Tony Stark,Earth-616,75.0,0.0,25.0
Vision vs Pod-2,https://www.superherodb.com/90-596331/,Vision,Vision,Earth-616,Pod-2,Aikku Jokinen,Earth-616,0.0,100.0,0.0
Mockingbird vs Crossbones,https://www.superherodb.com/90-597111/,Mockingbird,Barbara Morse,Earth-616,Crossbones,Brock Rumlow,Earth-616,75.0,25.0,0.0
Venom vs Yondu,https://www.superherodb.com/90-157301/,Venom,Eddie Brock,Earth-616,Yondu,Yondu Udonta,Earth-616,100.0,0.0,0.0
Vision vs Drax The Destroyer (Classic),https://www.superherodb.com/90-560527/,Vision,Vision,Earth-616,Drax The Destroyer (Classic),Arthur Sampson Douglas,Earth-616,0.0,100.0,0.0
Ghost Rider vs Ghost Rider,https://www.superherodb.com/90-682074/,Ghost Rider,Johnny Blaze,Earth-616,Ghost Rider,Olivia Obtera,Earth-616,100.0,0.0,0.0
Korvac vs The Mad Celestial,https://www.superherodb.com/90-596813/,Korvac,Michael Korvac,Earth-616,The Mad Celestial,The Mad Celestial,Earth-616,0.0,100.0,0.0
Warlock vs Ronan The Accuser,https://www.superherodb.com/90-132954/,Warlock,Adam Warlock,Earth-616,Ronan The Accuser,Ronan,Earth-616,100.0,0.0,0.0
Azazel vs Mister Sinister,https://www.superherodb.com/90-132353/,Azazel,NA,Earth-616,Mister Sinister,Nathaniel Essex,Earth-616,0.0,100.0,0.0
Sunspot vs Mantis,https://www.superherodb.com/90-128037/,Sunspot,Roberto DaCosta,Earth-616,Mantis,Brandt,Earth-616,100.0,0.0,0.0
Silver Surfer vs White Phoenix of the Crown,https://www.superherodb.com/90-127955/,Silver Surfer,Norrin Radd,Earth-616,White Phoenix of the Crown,Jean Grey,Earth-616,0.0,100.0,0.0
Rogue vs Blink,https://www.superherodb.com/90-136240/,Rogue,Anna Marie,Earth-616,Blink,Clarice Ferguson,Earth-616,100.0,0.0,0.0
Cable vs Negasonic Teenage Warhead,https://www.superherodb.com/90-135937/,Cable,Nathan Summers,Earth-616,Negasonic Teenage Warhead,Ellie Phimister,Earth-616,100.0,0.0,0.0
Ego vs Collector,https://www.superherodb.com/90-138373/,Ego,Egros,Earth-616,Collector,Taneleer Tivan,Earth-616,100.0,0.0,0.0
Beast vs Iron Spider,https://www.superherodb.com/90-140821/,Beast,Hank McCoy,Earth-616,Iron Spider,Peter Parker,Earth-616,0.0,100.0,0.0
Apocalypse vs Grandmaster,https://www.superherodb.com/90-140412/,Apocalypse,En Sabah Nur,Earth-616,Grandmaster,En Dwi Gast,Earth-616,0.0,100.0,0.0
Storm vs Magik,https://www.superherodb.com/90-143382/,Storm,Ororo Munroe,Earth-616,Magik,Illyana Rasputina,Earth-616,0.0,100.0,0.0
War Machine vs Captain Mar-vell,https://www.superherodb.com/90-145136/,War Machine,James Rhodes,Earth-616,Captain Mar-vell,Genis-Vell,Earth-616,0.0,100.0,0.0
Namora vs She-Hulk,https://www.superherodb.com/90-145110/,Namora,Aquaria Nautica Neptunia,Earth-616,She-Hulk,Jennifer Walters,Earth-616,0.0,100.0,0.0
Scarlet Witch vs Ronan The Accuser,https://www.superherodb.com/90-144945/,Scarlet Witch,Wanda Maximoff,Earth-616,Ronan The Accuser,Ronan,Earth-616,50.0,50.0,0.0
Gladiator vs MODOK,https://www.superherodb.com/90-147109/,Gladiator,Kallark,Earth-616,MODOK,George Tarleton,Earth-616,75.0,25.0,0.0
Gambit vs Blink,https://www.superherodb.com/90-146924/,Gambit,Remy LeBeau,Earth-616,Blink,Clarice Ferguson,Earth-616,100.0,0.0,0.0
Kingpin vs Scarlet Spider II,https://www.superherodb.com/90-149883/,Kingpin,Wilson Grant Fisk,Earth-616,Scarlet Spider II,Kaine Parker,Earth-616,0.0,100.0,0.0
Battlestar vs Frenzy,https://www.superherodb.com/90-149882/,Battlestar,Lemar Hoskins,Earth-616,Frenzy,Joanna Cargill,Earth-616,0.0,100.0,0.0
Shadowcat vs John Wraith,https://www.superherodb.com/90-151442/,Shadowcat,Kitty Pryde,Earth-616,John Wraith,John Wraith,Earth-616,100.0,0.0,0.0
Red Hulk vs Hela,https://www.superherodb.com/90-132058/,Red Hulk,Thaddeus E. Ross,Earth-616,Hela,NA,Earth-616,0.0,100.0,0.0
Jean Grey vs Magik,https://www.superherodb.com/90-129090/,Jean Grey,Jean Grey,Earth-616,Magik,Illyana Rasputina,Earth-616,0.0,0.0,100.0
Gamora vs Yondu,https://www.superherodb.com/90-128625/,Gamora,Gamora Zen Whoberi Ben Titan,Earth-616,Yondu,Yondu Udonta,Earth-616,100.0,0.0,0.0
Mockingbird vs Domino,https://www.superherodb.com/90-130978/,Mockingbird,Barbara Morse,Earth-616,Domino,Neena Thurman,Earth-616,50.0,50.0,0.0
Korvac vs Legion,https://www.superherodb.com/90-130913/,Korvac,Michael Korvac,Earth-616,Legion,David Haller,Earth-616,0.0,100.0,0.0
Destroyer vs Zeus,https://www.superherodb.com/90-153915/,Destroyer,NA,Earth-616,Zeus,Zeus Panhellenios,Earth-616,33.3,66.7,0.0
Invisible Woman vs Agent 13,https://www.superherodb.com/90-133502/,Invisible Woman,Susan Storm Richards,Earth-616,Agent 13,Sharon Carter,Earth-616,66.7,33.3,0.0
Thor vs Grandmaster,https://www.superherodb.com/90-133443/,Thor,Thor Odinson,Earth-616,Grandmaster,En Dwi Gast,Earth-616,0.0,100.0,0.0
Winter Soldier vs Red Guardian,https://www.superherodb.com/90-128503/,Winter Soldier,Bucky Barnes,Earth-616,Red Guardian,Alexi Shostakov,Earth-616,100.0,0.0,0.0
Electro vs Yondu,https://www.superherodb.com/90-128424/,Electro,Maxwell Dillon,Earth-616,Yondu,Yondu Udonta,Earth-616,0.0,100.0,0.0
Eternity vs Arishem The Judge,https://www.superherodb.com/90-142037/,Eternity,Eternity,Earth-616,Arishem The Judge,Arishem,Earth-616,66.7,33.3,0.0
Tyrant vs Ronan The Accuser,https://www.superherodb.com/90-130880/,Tyrant,Tyrant,Earth-616,Ronan The Accuser,Ronan,Earth-616,100.0,0.0,0.0
Madame Web vs Madame Hydra,https://www.superherodb.com/90-130399/,Madame Web,Cassandra Webb,Earth-616,Madame Hydra,Ophelia Sarkissian,Earth-616,100.0,0.0,0.0
Warlock vs Heimdall,https://www.superherodb.com/90-130375/,Warlock,Adam Warlock,Earth-616,Heimdall,Rig-Heimdall,Earth-616,100.0,0.0,0.0
Warlock vs Martinex,https://www.superherodb.com/90-144118/,Warlock,Adam Warlock,Earth-616,Martinex,Martinex T'Naga,Earth-616,100.0,0.0,0.0
Nova vs Legion,https://www.superherodb.com/90-144046/,Nova,Richard Rider,Earth-616,Legion,David Haller,Earth-616,0.0,100.0,0.0
Thor Girl vs Hela,https://www.superherodb.com/90-148315/,Thor Girl,Tarene,Earth-616,Hela,NA,Earth-616,0.0,100.0,0.0
Silver Samurai vs Luke Cage,https://www.superherodb.com/90-147753/,Silver Samurai,Kenuichio Harada,Earth-616,Luke Cage,Luke Cage,Earth-616,100.0,0.0,0.0
Tyrant vs Surtur,https://www.superherodb.com/90-150269/,Tyrant,Tyrant,Earth-616,Surtur,Surtur,Earth-616,66.7,33.3,0.0
Blue Marvel vs Captain Marvel,https://www.superherodb.com/90-153677/,Blue Marvel,Adam Brashear,Earth-616,Captain Marvel,Mar-Vell,Earth-616,100.0,0.0,0.0
Doctor Octopus vs Man-Thing,https://www.superherodb.com/90-135107/,Doctor Octopus,Otto Octavius,Earth-616,Man-Thing,Dr. Theodore Sallis,Earth-616,0.0,100.0,0.0
Air-Walker vs Nova,https://www.superherodb.com/90-134924/,Air-Walker,Gabriel Lan,Earth-616,Nova,Richard Rider,Earth-616,0.0,100.0,0.0
Deadpool vs Ronan The Accuser,https://www.superherodb.com/90-129402/,Deadpool,Wade Wilson,Earth-616,Ronan The Accuser,Ronan,Earth-616,50.0,50.0,0.0
Odin vs Malekith,https://www.superherodb.com/90-142837/,Odin,Odin Borson,Earth-616,Malekith,Malekith,Earth-616,100.0,0.0,0.0
Lizard vs Drax the Destroyer,https://www.superherodb.com/90-146666/,Lizard,Curtis Connors,Earth-616,Drax the Destroyer,Arthur Sampson Douglas,Earth-616,0.0,100.0,0.0
Mandarin vs Sebastian Shaw,https://www.superherodb.com/90-146373/,Mandarin,Khan,Earth-616,Sebastian Shaw,Sebastian Hiram Shaw,Earth-616,100.0,0.0,0.0
Agent 13 vs Maria Hill,https://www.superherodb.com/90-148786/,Agent 13,Sharon Carter,Earth-616,Maria Hill,NA,Earth-616,66.7,33.3,0.0
Dazzler vs Havok,https://www.superherodb.com/90-148445/,Dazzler,Alison Blaire,Earth-616,Havok,Alexander Summers,Earth-616,100.0,0.0,0.0
Legion vs Mad Jim Jaspers,https://www.superherodb.com/90-151371/,Legion,David Haller,Earth-616,Mad Jim Jaspers,Jim Jaspers,Earth-616,20.0,80.0,0.0
Fin Fang Foom vs Man-Thing,https://www.superherodb.com/90-152748/,Fin Fang Foom,NA,Earth-616,Man-Thing,Dr. Theodore Sallis,Earth-616,0.0,100.0,0.0
Dazzler vs Gamora,https://www.superherodb.com/90-134154/,Dazzler,Alison Blaire,Earth-616,Gamora,Gamora Zen Whoberi Ben Titan,Earth-616,0.0,100.0,0.0
Loki vs Void,https://www.superherodb.com/90-144705/,Loki,Loki Laufeyson,Earth-616,Void,Robert Reynolds,Earth-616,20.0,80.0,0.0
Mandarin vs Whiplash,https://www.superherodb.com/90-146270/,Mandarin,Khan,Earth-616,Whiplash,Anton Vanko,Earth-616,100.0,0.0,0.0
Galactus vs Iron God,https://www.superherodb.com/90-694519/,Galactus,Galan,Earth-616,Iron God,Tony Stark,Earth-616,100.0,0.0,0.0
All-Father Thor vs Nyx,https://www.superherodb.com/90-634794/,All-Father Thor,Thor Odinson,Earth-616,Nyx,Nyx,Earth-616,33.3,0.0,66.7
Knull vs Satannish,https://www.superherodb.com/90-522498/,Knull,Knull,Earth-616,Satannish,Nick Cloot,Earth-616,75.0,0.0,25.0
Hawkeye vs Mystique,https://www.superherodb.com/90-76153/,Hawkeye,Clint Barton,Earth-616,Mystique,Raven Darkholme,Earth-616,33.3,66.7,0.0
Dazzler vs Tigra,https://www.superherodb.com/90-69320/,Dazzler,Alison Blaire,Earth-616,Tigra,Greer Grant Nelson,Earth-616,0.0,100.0,0.0
Invisible Woman vs Apocalypse,https://www.superherodb.com/90-69218/,Invisible Woman,Susan Storm Richards,Earth-616,Apocalypse,En Sabah Nur,Earth-616,0.0,100.0,0.0
The Wasp vs Storm,https://www.superherodb.com/90-68094/,The Wasp,Janet van Dyne,Earth-616,Storm,Ororo Munroe,Earth-616,100.0,0.0,0.0
Tigra vs Storm,https://www.superherodb.com/90-67826/,Tigra,Greer Grant Nelson,Earth-616,Storm,Ororo Munroe,Earth-616,100.0,0.0,0.0
Dazzler vs Ghost Girl,https://www.superherodb.com/90-67181/,Dazzler,Alison Blaire,Earth-616,Ghost Girl,Wendy Hunt,Earth-616,0.0,100.0,0.0
Medusa vs Psycho-Man,https://www.superherodb.com/90-67176/,Medusa,Medusalith Amaquelin-Boltagon,Earth-616,Psycho-Man,NA,Earth-616,50.0,50.0,0.0
Tigra vs Crystal,https://www.superherodb.com/90-71499/,Tigra,Greer Grant Nelson,Earth-616,Crystal,Crystallia Amaquelin,Earth-616,0.0,100.0,0.0
Crystal vs Blink,https://www.superherodb.com/90-71498/,Crystal,Crystallia Amaquelin,Earth-616,Blink,Clarice Ferguson,Earth-616,100.0,0.0,0.0
Invisible Woman vs Blink,https://www.superherodb.com/90-71496/,Invisible Woman,Susan Storm Richards,Earth-616,Blink,Clarice Ferguson,Earth-616,75.0,25.0,0.0
Medusa vs Ms. Marvel,https://www.superherodb.com/90-70896/,Medusa,Medusalith Amaquelin-Boltagon,Earth-616,Ms. Marvel,Sharon Ventura,Earth-616,100.0,0.0,0.0
Tigra vs Domino,https://www.superherodb.com/90-70129/,Tigra,Greer Grant Nelson,Earth-616,Domino,Neena Thurman,Earth-616,100.0,0.0,0.0
Medusa vs Captain America,https://www.superherodb.com/90-73589/,Medusa,Medusalith Amaquelin-Boltagon,Earth-616,Captain America,Jeffrey Mace,Earth-616,100.0,0.0,0.0
Medusa vs Captain Britain,https://www.superherodb.com/90-73586/,Medusa,Medusalith Amaquelin-Boltagon,Earth-616,Captain Britain,Brian Braddock,Earth-616,100.0,0.0,0.0
Invisible Woman vs Sunspot,https://www.superherodb.com/90-73514/,Invisible Woman,Susan Storm Richards,Earth-616,Sunspot,Roberto DaCosta,Earth-616,0.0,100.0,0.0
Crystal vs Polaris,https://www.superherodb.com/90-72123/,Crystal,Crystallia Amaquelin,Earth-616,Polaris,Lorna Dane,Earth-616,25.0,75.0,0.0
Medusa vs Lady Bullseye,https://www.superherodb.com/90-71930/,Medusa,Medusalith Amaquelin-Boltagon,Earth-616,Lady Bullseye,Maki Matsumotu,Earth-616,100.0,0.0,0.0
She-Hulk vs Red Guardian,https://www.superherodb.com/90-76055/,She-Hulk,Jennifer Walters,Earth-616,Red Guardian,Alexi Shostakov,Earth-616,100.0,0.0,0.0
Invisible Woman vs Spider-Woman III,https://www.superherodb.com/90-76053/,Invisible Woman,Susan Storm Richards,Earth-616,Spider-Woman III,Martha Franklin,Earth-616,0.0,100.0,0.0
Cat vs Valkyrie,https://www.superherodb.com/90-75328/,Cat,Shirlee Bryant,Earth-616,Valkyrie,Brunnhilde,Earth-616,100.0,0.0,0.0
Wolverine vs Crystal,https://www.superherodb.com/90-74321/,Wolverine,Logan,Earth-616,Crystal,Crystallia Amaquelin,Earth-616,0.0,100.0,0.0
Cyclops vs Electro,https://www.superherodb.com/90-79022/,Cyclops,Scott Summers,Earth-616,Electro,Maxwell Dillon,Earth-616,25.0,75.0,0.0
Medusa vs Pixie,https://www.superherodb.com/90-78842/,Medusa,Medusalith Amaquelin-Boltagon,Earth-616,Pixie,Megan Gwynn,Earth-616,50.0,50.0,0.0
Luke Cage vs The Wasp,https://www.superherodb.com/90-78736/,Luke Cage,Luke Cage,Earth-616,The Wasp,Janet van Dyne,Earth-616,100.0,0.0,0.0
Dazzler vs Luke Cage,https://www.superherodb.com/90-78734/,Dazzler,Alison Blaire,Earth-616,Luke Cage,Luke Cage,Earth-616,0.0,100.0,0.0
Crystal vs Titania,https://www.superherodb.com/90-78732/,Crystal,Crystallia Amaquelin,Earth-616,Titania,Mary McPherran,Earth-616,100.0,0.0,0.0
Mister Fantastic vs Titania,https://www.superherodb.com/90-78731/,Mister Fantastic,Reed Richards,Earth-616,Titania,Mary McPherran,Earth-616,66.7,33.3,0.0
Storm vs Titania,https://www.superherodb.com/90-78730/,Storm,Ororo Munroe,Earth-616,Titania,Mary McPherran,Earth-616,0.0,100.0,0.0
Dazzler vs Trapster,https://www.superherodb.com/90-78729/,Dazzler,Alison Blaire,Earth-616,Trapster,Peter Petruski,Earth-616,0.0,100.0,0.0
Dazzler vs The Wasp,https://www.superherodb.com/90-78728/,Dazzler,Alison Blaire,Earth-616,The Wasp,Janet van Dyne,Earth-616,0.0,100.0,0.0
Gamora vs Electro,https://www.superherodb.com/90-76979/,Gamora,Gamora Zen Whoberi Ben Titan,Earth-616,Electro,Maxwell Dillon,Earth-616,50.0,50.0,0.0
Medusa vs Wasp II,https://www.superherodb.com/90-81757/,Medusa,Medusalith Amaquelin-Boltagon,Earth-616,Wasp II,Hank Pym,Earth-616,50.0,50.0,0.0
Medusa vs Ymir,https://www.superherodb.com/90-81754/,Medusa,Medusalith Amaquelin-Boltagon,Earth-616,Ymir,Ymir,Earth-616,50.0,50.0,0.0
Ymir vs Crystal,https://www.superherodb.com/90-81753/,Ymir,Ymir,Earth-616,Crystal,Crystallia Amaquelin,Earth-616,50.0,50.0,0.0
Human Torch vs Ymir,https://www.superherodb.com/90-81752/,Human Torch,Johnny Storm,Earth-616,Ymir,Ymir,Earth-616,0.0,100.0,0.0
Electro vs The Wasp,https://www.superherodb.com/90-80595/,Electro,Maxwell Dillon,Earth-616,The Wasp,Janet van Dyne,Earth-616,100.0,0.0,0.0
Medusa vs Black Mamba,https://www.superherodb.com/90-80113/,Medusa,Medusalith Amaquelin-Boltagon,Earth-616,Black Mamba,Tanya Sealy,Earth-616,100.0,0.0,0.0
Human Torch vs Wonder Man,https://www.superherodb.com/90-79261/,Human Torch,Johnny Storm,Earth-616,Wonder Man,Simon Williams,Earth-616,100.0,0.0,0.0
Wonder Man vs Mister Fantastic,https://www.superherodb.com/90-79259/,Wonder Man,Simon Williams,Earth-616,Mister Fantastic,Reed Richards,Earth-616,100.0,0.0,0.0
Tigra vs Doppelganger,https://www.superherodb.com/90-82651/,Tigra,Greer Grant Nelson,Earth-616,Doppelganger,NA,Earth-616,100.0,0.0,0.0
Tigra vs Spyke,https://www.superherodb.com/90-82650/,Tigra,Greer Grant Nelson,Earth-616,Spyke,Evan Daniels,Earth-616,100.0,0.0,0.0
Falcon vs Huntara,https://www.superherodb.com/90-82458/,Falcon,Sam Wilson,Earth-616,Huntara,Tara Richards,Earth-616,0.0,100.0,0.0
Crystal vs Huntara,https://www.superherodb.com/90-82457/,Crystal,Crystallia Amaquelin,Earth-616,Huntara,Tara Richards,Earth-616,100.0,0.0,0.0
Mister Fantastic vs Psylocke,https://www.superherodb.com/90-82350/,Mister Fantastic,Reed Richards,Earth-616,Psylocke,Elizabeth Braddock,Earth-616,0.0,100.0,0.0
Dazzler vs Molten Man,https://www.superherodb.com/90-81849/,Dazzler,Alison Blaire,Earth-616,Molten Man,Mark Raxton,Earth-616,0.0,100.0,0.0
Invisible Woman vs Squirrel Girl,https://www.superherodb.com/90-83845/,Invisible Woman,Susan Storm Richards,Earth-616,Squirrel Girl,Doreen Green,Earth-616,0.0,100.0,0.0
Watcher vs Arishem The Judge,https://www.superherodb.com/90-83530/,Watcher,Uatu,Earth-616,Arishem The Judge,Arishem,Earth-616,33.3,66.7,0.0
Invisible Woman vs Arishem The Judge,https://www.superherodb.com/90-83528/,Invisible Woman,Susan Storm Richards,Earth-616,Arishem The Judge,Arishem,Earth-616,0.0,100.0,0.0
Armor vs Diamondback,https://www.superherodb.com/90-83461/,Armor,Hisako Ichiki,Earth-616,Diamondback,Willis Stryker,Earth-616,50.0,50.0,0.0
Dazzler vs Armor,https://www.superherodb.com/90-83459/,Dazzler,Alison Blaire,Earth-616,Armor,Hisako Ichiki,Earth-616,0.0,50.0,50.0
Armor vs Crystal,https://www.superherodb.com/90-83458/,Armor,Hisako Ichiki,Earth-616,Crystal,Crystallia Amaquelin,Earth-616,50.0,50.0,0.0
Medusa vs Armor,https://www.superherodb.com/90-83456/,Medusa,Medusalith Amaquelin-Boltagon,Earth-616,Armor,Hisako Ichiki,Earth-616,100.0,0.0,0.0
Medusa vs Thundra,https://www.superherodb.com/90-83454/,Medusa,Medusalith Amaquelin-Boltagon,Earth-616,Thundra,Thundra,Earth-616,100.0,0.0,0.0
Medusa vs Tigra,https://www.superherodb.com/90-83453/,Medusa,Medusalith Amaquelin-Boltagon,Earth-616,Tigra,Greer Grant Nelson,Earth-616,100.0,0.0,0.0
She-Hulk vs Caiera,https://www.superherodb.com/90-524802/,She-Hulk,Jennifer Walters,Earth-616,Caiera,Caiera,Earth-616,16.7,83.3,0.0
Iron Man (God-buster Armour Model 63) vs Scarlet Witch (True Darkhold),https://www.superherodb.com/90-738919/,Iron Man (God-buster Armour Model 63),Tony Stark,Earth-616,Scarlet Witch (True Darkhold),Wanda Maximoff,Earth-616,33.3,66.7,0.0
Iron Man (God-buster Armour Model 63) vs Iron God,https://www.superherodb.com/90-738915/,Iron Man (God-buster Armour Model 63),Tony Stark,Earth-616,Iron God,Tony Stark,Earth-616,0.0,100.0,0.0
Sabretooth vs Invisible Woman,https://www.superherodb.com/90-227336/,Sabretooth,Victor Creed,Earth-616,Invisible Woman,Susan Storm Richards,Earth-616,25.0,75.0,0.0
Invisible Woman vs Mr. Negative,https://www.superherodb.com/90-429643/,Invisible Woman,Susan Storm Richards,Earth-616,Mr. Negative,Martin Li,Earth-616,81.8,18.2,0.0
Odin vs Iron Man (God-buster Armour Model 63),https://www.superherodb.com/90-740933/,Odin,Odin Borson,Earth-616,Iron Man (God-buster Armour Model 63),Tony Stark,Earth-616,0.0,100.0,0.0
Death vs Chthon,https://www.superherodb.com/90-914754/,Death,Death,Earth-616,Chthon,NA,Earth-616,66.7,33.3,0.0
Onslaught vs Hela,https://www.superherodb.com/90-127659/,Onslaught,Onslaught,Earth-616,Hela,NA,Earth-616,0.0,100.0,0.0
Legion vs Zeus,https://www.superherodb.com/90-150481/,Legion,David Haller,Earth-616,Zeus,Zeus Panhellenios,Earth-616,50.0,50.0,0.0
Kingpin vs Black Widow,https://www.superherodb.com/90-71665/,Kingpin,Wilson Grant Fisk,Earth-616,Black Widow,Natasha Romanoff,Earth-616,0.0,66.7,33.3
Legion vs Odin (Surtur Force),https://www.superherodb.com/90-846521/,Legion,David Haller,Earth-616,Odin (Surtur Force),Odin Borson,Earth-616,0.0,100.0,0.0
World Breaker Hulk vs Thing,https://www.superherodb.com/90-841130/,World Breaker Hulk,Bruce Banner,Earth-616,Thing,Ben Grimm,Earth-616,100.0,0.0,0.0
Franklin Richards vs Odin (Surtur Force),https://www.superherodb.com/90-846519/,Franklin Richards,Franklin Richards,Earth-616,Odin (Surtur Force),Odin Borson,Earth-616,0.0,100.0,0.0
Scarlet Witch vs Odin (Surtur Force),https://www.superherodb.com/90-846515/,Scarlet Witch,Wanda Maximoff,Earth-616,Odin (Surtur Force),Odin Borson,Earth-616,0.0,100.0,0.0
Doctor Strange (Classic) vs Odin (Surtur Force),https://www.superherodb.com/90-846512/,Doctor Strange (Classic),Stephen Strange,Earth-616,Odin (Surtur Force),Odin Borson,Earth-616,0.0,100.0,0.0
Surtur vs Odin (Surtur Force),https://www.superherodb.com/90-846507/,Surtur,Surtur,Earth-616,Odin (Surtur Force),Odin Borson,Earth-616,50.0,50.0,0.0
Mephisto vs Odin (Surtur Force),https://www.superherodb.com/90-846510/,Mephisto,NA,Earth-616,Odin (Surtur Force),Odin Borson,Earth-616,25.0,75.0,0.0
Chthon vs Odin (Infinity),https://www.superherodb.com/90-857989/,Chthon,NA,Earth-616,Odin (Infinity),Odin Borson,Earth-616,0.0,100.0,0.0
World Breaker Hulk vs Odin (Surtur Force),https://www.superherodb.com/90-846610/,World Breaker Hulk,Bruce Banner,Earth-616,Odin (Surtur Force),Odin Borson,Earth-616,0.0,0.0,100.0
Captain Universe vs Hela,https://www.superherodb.com/90-897150/,Captain Universe,Uni-Power,Earth-616,Hela,NA,Earth-616,100.0,0.0,0.0
Captain Universe vs Binary,https://www.superherodb.com/90-897147/,Captain Universe,Uni-Power,Earth-616,Binary,Carol Danvers,Earth-616,0.0,100.0,0.0
Franklin Richards (Adult) vs Odin (Surtur Force),https://www.superherodb.com/90-895884/,Franklin Richards (Adult),Franklin Richards,Earth-616,Odin (Surtur Force),Odin Borson,Earth-616,0.0,100.0,0.0
The One Below All vs Scarlet Witch (True Darkhold),https://www.superherodb.com/90-722165/,The One Below All,The One Below All,Earth-616,Scarlet Witch (True Darkhold),Wanda Maximoff,Earth-616,50.0,50.0,0.0
Legion vs Chaos War Hercules,https://www.superherodb.com/90-671647/,Legion,David Haller,Earth-616,Chaos War Hercules,Hercules,Earth-616,0.0,100.0,0.0
Legion vs Chthon,https://www.superherodb.com/90-704600/,Legion,David Haller,Earth-616,Chthon,NA,Earth-616,0.0,0.0,100.0
Destroyer vs Iron Man (Endo-Sym Armor),https://www.superherodb.com/90-405897/,Destroyer,NA,Earth-616,Iron Man (Endo-Sym Armor),Tony Stark,Earth-616,25.0,75.0,0.0
Hulk vs Captain Universe,https://www.superherodb.com/90-65451/,Hulk,Bruce Banner,Earth-616,Captain Universe,Uni-Power,Earth-616,0.0,0.0,100.0
Franklin Richards vs Captain Universe,https://www.superherodb.com/90-189786/,Franklin Richards,Franklin Richards,Earth-616,Captain Universe,Uni-Power,Earth-616,0.0,0.0,100.0
Captain Universe vs Legion,https://www.superherodb.com/90-154986/,Captain Universe,Uni-Power,Earth-616,Legion,David Haller,Earth-616,0.0,0.0,100.0
Legion vs World Breaker Hulk,https://www.superherodb.com/90-248074/,Legion,David Haller,Earth-616,World Breaker Hulk,Bruce Banner,Earth-616,0.0,100.0,0.0
Captain Universe vs World Breaker Hulk,https://www.superherodb.com/90-303481/,Captain Universe,Uni-Power,Earth-616,World Breaker Hulk,Bruce Banner,Earth-616,0.0,100.0,0.0
Destroyer vs Iron Destroyer,https://www.superherodb.com/90-405080/,Destroyer,NA,Earth-616,Iron Destroyer,Tony Stark,Earth-616,100.0,0.0,0.0
Captain Britain vs X-23,https://www.superherodb.com/90-19419/,Captain Britain,Brian Braddock,Earth-616,X-23,Laura Kinney,Earth-616,100.0,0.0,0.0
Apocalypse vs Destroyer,https://www.superherodb.com/90-29647/,Apocalypse,En Sabah Nur,Earth-616,Destroyer,NA,Earth-616,0.0,100.0,0.0
Electro vs Toxin,https://www.superherodb.com/90-116402/,Electro,Maxwell Dillon,Earth-616,Toxin,Eddie Brock,Earth-616,0.0,100.0,0.0
